Date,Time (clock),AccelPedalPos1,BatteryPackCurrent,BatterySOC,BrakePedalPos,MotorCurrentAxleA,MotorCurrentAxleB,MotorVoltageAxleA,MotorVoltageAxleB,MotorSpdAxleA,MotorSpdAxleB,MoterTrqAxleA,MotorTrqAxleB,TransGearRatioAxleA,TransGearRatioAxleB,WheelBasedVehicleSpeed,Elevation (m),Time,PowerConsump,Velocity,Distance
8/30/2023,12:00:00 AM,0,11.7,40.4,5.2,0.9,-1.1,664.2,664.8,0,0,29.9,29.9,2.67,2.67,0,908,0,0,0,0
8/30/2023,10:46:41 AM,0,11.4,40.4,5.2,0.8,-1.6,663.8,665,0,0,29.6,30,2.67,2.67,0,908,1,0,0,0
8/30/2023,10:46:42 AM,0,11.4,40.4,5.2,1,-1.7,664,665.2,0,0,29.4,30,2.67,2.67,0,908,2,0,0,0
8/30/2023,10:46:43 AM,0,11.3,40.4,5.2,0.9,-1.4,663.9,665.2,0,0,29.9,30.9,2.67,2.67,0,908,3,0,0,0
8/30/2023,10:46:44 AM,0,11.3,40.4,5.2,1.2,-0.7,664.1,665.2,0,0,29.7,29.9,2.67,2.67,0,908,4,0,0,0
8/30/2023,10:46:45 AM,0,11.3,40.4,0,0.5,-0.9,664.1,665.5,0,0,25.5,31,2.67,2.67,0,908,5,0,0,0
8/30/2023,10:46:46 AM,26,24.3,40.4,0,6.7,5.7,662.5,663.4,126,127,237.8,238.6,2.67,2.67,0.8164,908,6,0.000360137,0.226777778,0.226777778
8/30/2023,10:46:47 AM,30,55.2,40.4,0,18.4,18.9,658.4,660.9,414,422,283.1,281.8,2.67,2.67,3.7813,908,7,0.005999096,1.050361111,1.277138889
8/30/2023,10:46:48 AM,29.6,99.4,40.4,0,39.2,37.4,657.3,658.7,764,751,322,314.8,2.67,2.67,6.8867,908,8,0.021324453,1.912972222,3.190111111
8/30/2023,10:46:49 AM,29.6,94.3,40.4,0,44.7,45.8,656.7,658.2,1084,1089,216,223.9,2.67,2.67,9.3828,908,9,0.04252256,2.606333333,5.796444444
8/30/2023,10:46:50 AM,32.4,65,40.4,0,29.5,28,658.5,659.8,1182,1161,136.2,133.2,2.67,2.67,10.9883,908,10,0.062388974,3.052305556,8.84875
8/30/2023,10:46:51 AM,33.2,80.3,40.4,0,37.5,37.7,657.4,658.3,1272,1304,159.5,159,2.67,2.67,12,908,11,0.07745759,3.333333333,12.18208333
8/30/2023,10:46:52 AM,34.4,82.1,40.4,0,38.3,39.2,657,658.6,1422,1428,150.8,149.5,2.67,2.67,13.2148,908,12,0.092005464,3.670777778,15.85286111
8/30/2023,10:46:53 AM,34.8,78.9,40.4,0,36.2,38.3,658,659.2,1591,1606,132.9,134,2.67,2.67,14.8672,908,13,0.112316906,4.129777778,19.98263889
8/30/2023,10:46:54 AM,42,99,40.4,0,49.4,49,656.9,658.2,1778,1767,161.5,161.1,2.67,2.67,16.625,908,14,0.138772995,4.618055556,24.60069444
8/30/2023,10:46:55 AM,47.2,123.2,40.4,0,61.2,62.6,655.5,656.5,1941,1939,185.4,186.4,2.67,2.67,18.2852,907.8487004,15,0.159575784,5.079222222,29.67991667
8/30/2023,10:46:56 AM,50.8,155,40.4,0,78.6,79.3,654.2,654.8,2139,2141,215.6,216,2.67,2.67,19.5313,907.6974007,16,0.169941146,5.425361111,35.10527778
8/30/2023,10:46:57 AM,52,198.5,40.4,0,101.9,102.5,651.4,652.3,2400,2399,249.8,249.6,2.67,2.67,22.4258,907.5209297,17,0.194624199,6.229388889,41.33466667
8/30/2023,10:46:58 AM,52,270,40.4,0,136,137.2,648.5,649.2,2735,2730,294.6,293.6,2.67,2.67,25.4766,907.3409098,18,0.241977545,7.076833333,48.4115
8/30/2023,10:46:59 AM,52,301.3,40.4,0,148.9,151.1,646.4,647.7,3076,3076,284.5,282.8,2.67,2.67,28.832,907.135027,19,0.302459121,8.008888889,56.42038889
8/30/2023,10:47:00 AM,47.2,288.1,40.4,0,132.8,135,642.1,644.2,3381,3397,230.4,228.4,2.67,2.67,31.3359,906.9577768,20,0.364038807,8.704416667,65.12480556
8/30/2023,10:47:01 AM,47.2,281.5,40.4,0,135.3,137.5,641.4,643.8,3703,3695,214.9,217,2.67,2.67,34.6367,906.8065473,21,0.437159275,9.621305556,74.74611111
8/30/2023,10:47:02 AM,44.4,268.9,40.4,0,125.7,125.8,641.3,644.1,3979,3944,185.2,184.8,2.67,2.67,37.2656,906.6553177,22,0.521107329,10.35155556,85.09766667
8/30/2023,10:47:03 AM,44.4,261.8,40.4,0,127,127.7,640.8,643,4206,4212,176.3,174.4,2.67,2.67,39.5391,906.4872848,23,0.593854475,10.98308333,96.08075
8/30/2023,10:47:04 AM,41.2,225.6,40.4,0,101.5,102.1,642.9,645.4,4410,4420,134.3,136.2,2.67,2.67,41.0977,906.3013349,24,0.650067999,11.41602778,107.4967778
8/30/2023,10:47:05 AM,40.8,168.3,40.4,0,80.3,80.9,644.4,646.6,4574,4568,99.9,100.7,2.67,2.67,42.6016,906.0996955,25,0.693321466,11.83377778,119.3305556
8/30/2023,10:47:06 AM,40.8,155.3,40.4,0,72.2,74.1,645.9,648.5,4700,4685,88.5,91,2.67,2.67,44.168,905.8980561,26,0.738393846,12.26888889,131.5994444
8/30/2023,10:47:07 AM,40.8,152.3,40.4,0,70.9,73.2,645.5,647.7,4812,4814,84.6,84.1,2.67,2.67,45.3906,905.6796133,27,0.779104595,12.6085,144.2079444
8/30/2023,10:47:08 AM,40.8,149.9,40.4,0,71.7,73.2,645.5,648.4,4919,4919,81.3,83.5,2.67,2.67,46.4023,905.4602275,28,0.809257621,12.88952778,157.0974722
8/30/2023,10:47:09 AM,40.8,142.4,40.4,0,65.4,67,643.6,646.8,5014,5016,75.5,79.4,2.67,2.67,47.2656,905.2241054,29,0.832165113,13.12933333,170.2268056
8/30/2023,10:47:10 AM,41.6,154.1,40.4,0,73.4,75.3,646.5,647.5,5110,5124,82.8,82.6,2.67,2.67,47.8906,905,30,0.847471059,13.30294444,183.52975
8/30/2023,10:47:11 AM,43.2,208.7,40.4,0,99.8,100.8,642.4,644.6,5236,5226,111.3,113.4,2.67,2.67,49.4453,905,31,0.892448189,13.73480556,197.2645556
8/30/2023,10:47:12 AM,43.2,216.7,40.4,0,200.4,4.7,638.9,654.8,5368,1995,224.1,0,2.67,0,50.457,905,32,0.959841418,14.01583333,211.2803889
8/30/2023,10:47:13 AM,43.2,-226,40.4,0,-215.2,65.4,661.8,664.4,2735,2033,0,194.1,0,1,50.7383,905,33,0.999623871,14.09397222,225.3743611
8/30/2023,10:47:14 AM,43.2,66.2,40.4,0,29.1,30.3,657.2,658.4,2042,2054,91.4,93.2,1,1,51.2266,905,34,1.027962974,14.22961111,239.6039722
8/30/2023,10:47:15 AM,43.2,65.3,40.4,0,28.8,31.9,657.2,658.3,2044,2036,91.2,99.6,1,1,51.3828,904.8271728,35,1.043892814,14.273,253.8769722
8/30/2023,10:47:16 AM,43.2,67.3,40.4,0,32.1,31.2,656.9,658.1,2042,2064,96.9,95.9,1,1,51.6523,904.5844518,36,1.041285811,14.34786111,268.2248333
8/30/2023,10:47:17 AM,43.6,70.4,40.4,0,34.2,33.2,657,658.4,2051,2056,101,100.7,1,1,51.8594,904.3425159,37,1.036069687,14.40538889,282.6302222
8/30/2023,10:47:18 AM,48.4,93.8,40.4,0,48.1,47,655.2,656.9,2099,2087,136.5,135.8,1,1,52.2109,904.1005799,38,1.032960326,14.50302778,297.13325
8/30/2023,10:47:19 AM,49.6,137.9,40.4,0,70.2,70.6,653,654.5,2114,2114,193.5,193,1,1,53.2461,903.8279385,39,1.048076729,14.79058333,311.9238333
8/30/2023,10:47:20 AM,49.6,137.8,40.4,0,69.3,69,652.7,654.5,2151,2150,187.6,187.6,1,1,53.793,903.5648393,40,1.067188266,14.9425,326.8663333
8/30/2023,10:47:21 AM,49.6,135.6,40.4,0,69.3,68.4,653.1,654.2,2174,2177,184.5,184.6,1,1,54.6523,903.2842002,41,1.082468248,15.18119444,342.0475278
8/30/2023,10:47:22 AM,49.2,130.3,40,0,65.2,65.6,653.4,654.6,2187,2198,176,176.8,1,1,55,903.0035611,42,1.092396132,15.27777778,357.3253056
8/30/2023,10:47:23 AM,47.2,103.7,40,0,51.1,51.3,654.8,656.4,2233,2225,139.6,138.6,1,1,55.6367,903,43,1.112984701,15.45463889,372.7799444
8/30/2023,10:47:24 AM,42,36,40,0,13.6,14,660.8,661.7,2229,2240,45.3,45.9,1,1,56.2695,903,44,1.156940424,15.63041667,388.4103611
8/30/2023,10:47:25 AM,42.8,37.7,40,0,14.7,15.6,660.6,661.7,2247,2226,49.6,50,1,1,56.4258,902.8286496,45,1.179761512,15.67383333,404.0841944
